entity,posts,mentions,add_to_whitelist,note
富士山,485,2079,1,
東北,203,317,0,
河口湖,184,509,1,
鹿兒島,107,319,0,
歐洲,102,119,0,
日本海,90,116,0,
瀨戶內海,90,130,0,
天橋立,84,134,1,
秋葉原,79,106,1,
亞洲,74,83,0,
宮島,73,164,1,
琵琶湖,70,160,1,
東橫,62,82,0,
洞爺湖,60,154,1,
江之島,59,222,1,
函館山,58,111,1,
富山,56,83,0,
小豆島,55,208,1,
阿蘇火山,51,72,1,
山中湖,49,144,1,
太平洋,47,64,0,
嵐山,47,75,1,
迪士尼,47,64,0,
高千穗峽,43,118,1,
東海,42,51,0,
櫻島,42,124,1,
金鱗湖,42,88,1,
德島,40,75,0,
東京灣,40,57,0,
福島,40,54,0,
淡路島,38,111,1,
松島,37,58,1,
門司港,36,52,1,
西湖,35,82,1,
東南亞,34,37,0,
阿蘇山,33,55,1,
仙台,31,35,0,
東京市區,30,32,0,
溫泉街,30,33,0,
田澤湖,29,67,1,
北陸,28,34,0,
阿寒湖,28,84,1,
瀨長島,27,58,1,
非洲,27,31,0,
中洲,26,43,1,
伊豆半島,26,41,1,
道湖,26,38,0,
十和田湖,25,44,1,
古宇利島,25,39,1,
支笏湖,25,93,1,
猊鼻溪,25,58,1,
奧入瀨溪,24,64,1,
富良野,24,37,1,
巴爾幹半島,24,24,0,
平和島,24,61,1,
心齋橋,24,27,1,
本栖湖,24,45,1,
軍艦島,24,44,1,
迪士尼海洋,24,30,0,
關門海峽,24,41,1,
石垣島,23,53,1,
稻佐山,23,41,1,
羊蹄山,23,45,1,
青池,23,30,1,
高尾山,23,60,1,
鴨川,23,27,1,
佐渡島,22,126,1,
利尻島,22,58,1,
大室山,22,52,1,
福江島,22,167,1,
松島海岸,21,25,1,
比叡山,21,39,1,
大正池,20,48,1,
藻岩山,20,34,1,
諏訪湖,20,39,1,
奧入瀨,19,36,1,
摩周湖,19,47,1,
神戶港,19,24,1,
鄂霍次克海,19,34,0,
隅田川,19,22,1,
定山溪,18,58,1,
層雲峽,18,46,1,
知床半島,18,38,1,
貓島,18,29,1,
三島,17,28,1,
五島列島,17,32,1,
八甲田山,17,25,1,
宍道湖,17,25,1,
東亞,17,22,0,
禮文島,17,42,1,
豐洲,17,22,1,
高山,17,17,1,
中之島,16,23,1,
中島,16,23,1,
久賀島,16,115,1,
半島,16,21,0,
南極,16,29,0,
奈留島,16,101,1,
宗谷岬,16,36,1,
宮古島,16,168,1,
富山灣,16,24,1,
岩木山,16,19,1,
日月潭,16,18,0,
護城河,16,20,0,
高松市區,16,23,0,
吉野山,15,30,1,
沙洲,15,41,0,
湘南,15,21,1,
精進湖,15,30,1,
蘆之湖,15,41,1,
鬼怒川,15,30,1,
麻布台之丘,15,23,1,
中禪寺湖,14,32,1,
九十九島,14,23,1,
北九州,14,14,0,
天狗山,14,20,1,
朝鮮半島,14,18,1,
東武,14,20,1,
津輕海峽,14,17,1,
犬山,14,25,1,
近江,14,17,0,
迪士尼陸地,14,17,0,
道頓堀,14,17,1,
霧島,14,24,1,
大雪山,13,16,1,
天保山,13,17,1,
姬路,13,14,0,
摩耶山,13,15,1,
河原町,13,20,0,
河童橋,13,16,1,
清津峽,13,36,1,
硫磺山,13,22,1,
福知山,13,27,0,
金華山,13,23,1,
關東,13,15,0,
高野山,13,30,1,
六甲山,12,16,1,
北極熊,12,13,0,
大涌谷,12,19,1,
弁天島,12,15,1,
新倉山,12,17,1,
木曾川,12,17,1,
淺草,12,12,1,
福浦島,12,24,1,
美洲,12,12,0,
能登半島,12,14,1,
輕井澤,12,19,1,
銀山溫泉,12,16,1,
關東地區,12,13,0,
陽明山,12,12,0,
高千穗,12,13,1,
鷲羽山,12,51,1,
五湖,11,14,1,
北阿爾卑斯山,11,17,1,
吉野川,11,19,1,
和歌山,11,13,0,
女木島,11,61,1,
富士山河口湖,11,13,0,
富士山頂,11,14,1,
寒霞溪,11,20,1,
小田原,11,14,1,
生口島,11,30,1,
男木島,11,64,1,
白山,11,14,1,
若草山,11,21,1,
黑川溫泉,11,12,1,
中書島,10,13,1,
中東,10,10,0,
中華街,10,12,1,
中通島,10,60,1,
五島,10,17,1,
保津川,10,20,1,
北歐,10,11,0,
天安河原,10,16,1,
宇和島,10,25,1,
巨雷山,10,17,1,
御船山,10,16,1,
松島灣,10,34,1,
猿島,10,30,1,
神戶,10,10,0,
米原,10,13,0,
西武,10,14,1,
長島,10,11,0,
鳴子峽,10,24,1,
鼻溪,10,16,0,
二世谷,9,14,1,
兒島,9,16,1,
半山腰,9,10,0,
南美洲,9,10,0,
地獄谷,9,9,1,
大三島,9,21,1,
大久野島,9,30,1,
大岡川,9,18,1,
大湧谷,9,18,1,
大觀峰,9,11,1,
大馬路,9,9,0,
奧武島,9,44,1,
宇久島,9,55,1,
富士五湖,9,12,1,
屈斜路湖,9,9,1,
山陽山,9,10,0,
彌山,9,11,1,
東北地區,9,9,0,
櫻木町,9,15,0,
殘波岬,9,17,1,
濱比嘉島,9,27,1,
獅子岩,9,14,1,
皿倉山,9,17,1,
直島,9,16,1,
若松島,9,28,1,
西岸,9,9,0,
金麟湖,9,13,1,
離島,9,10,0,
雲峽,9,10,0,
鞍馬山,9,18,1,
下北半島,8,12,1,
中海,8,8,1,
兔子島,8,17,1,
八幡山,8,21,1,
利尻山,8,32,1,
北廣島,8,10,1,
叡山,8,10,1,
嚴美溪,8,20,1,
地中海,8,9,0,
夢洲,8,9,1,
大井川,8,30,1,
大阪市區,8,9,0,
小值賀島,8,13,1,
庫頁島,8,15,0,
志賀島,8,59,1,
早雲山,8,13,1,
札幌市區,8,8,0,
橫濱港,8,10,1,
津山,8,19,0,
渋谷,8,8,1,
玉山,8,10,0,
珠山,8,15,1,
田代島,8,31,1,
福山,8,8,0,
赤沼,8,16,1,
道東,8,8,0,
銀山,8,9,1,
隱岐諸島,8,21,1,
雄島,8,9,1,
香嵐溪,8,31,1,
馬溫泉,8,8,1,
駿河灣,8,10,1,
高瀨川,8,15,1,
三浦半島,7,8,1,
下灘,7,7,1,
五色沼,7,18,1,
南海,7,7,0,
四國島,7,8,0,
壹岐島,7,16,1,
大吉山,7,11,1,
大阪灣,7,9,0,
太空山,7,9,0,
宮津灣,7,10,1,
峇里島,7,8,0,
巖流島,7,12,1,
東山,7,8,1,
東茶屋街,7,7,1,
松山市區,7,7,0,
淺野川,7,13,1,
湯之湖,7,31,1,
福江,7,8,1,
竹生島,7,7,1,
荒川,7,15,1,
西伯利亞,7,9,0,
西北,7,7,0,
西大山,7,16,1,
豐島,7,16,1,
豬苗代湖,7,13,1,
銀河,7,11,0,
鎌倉,7,8,1,
鎌倉江之島,7,8,1,
阿蘇,7,7,1,
青森市區,7,10,0,
飛濺山,7,8,1,
鬼怒川溫泉,7,8,1,
三原,6,6,1,
三湖,6,10,0,
三角,6,7,1,
九州島,6,8,0,
五瀨川,6,8,1,
伊勢灣,6,7,0,
八丈島,6,34,1,
北半島,6,10,0,
北美,6,6,0,
千曲川,6,7,1,
博多灣,6,7,0,
嚴島,6,7,1,
堪察加半島,6,6,0,
大山,6,6,1,
大島,6,6,1,
大洲,6,11,1,
天都山,6,9,1,
天龍川,6,9,1,
奄美大島,6,12,1,
奧大井湖,6,9,1,
宇治川,6,8,1,
富山市區,6,9,0,
小笠原,6,11,1,
屋久島,6,25,1,
新島島,6,7,1,
月島,6,6,1,
東北角,6,7,0,
東海地區,6,6,0,
武雄溫泉,6,7,1,
沖繩島,6,8,0,
清津峡,6,14,1,
湯島,6,14,1,
澀谷,6,6,1,
澎湖,6,8,0,
濟州島,6,7,1,
濱名湖,6,15,1,
熊野三山,6,11,1,
男體山,6,6,1,
眉山,6,8,1,
知夫里島,6,24,1,
積丹半島,6,17,1,
竹島,6,11,0,
納沙布岬,6,7,1,
蔦沼,6,14,1,
西之島,6,18,1,
豊島,6,18,1,
賀島,6,13,1,
賢島,6,14,1,
野崎島,6,32,1,
長良川,6,8,1,
阿爾卑斯山,6,9,0,
阿爾卑斯山脈,6,6,0,
阿蘇海,6,8,1,
雪山,6,8,1,
青葉山,6,7,1,
須磨浦山,6,16,1,
馬島,6,21,1,
魔女之谷,6,9,1,
鹿島,6,6,1,
黑部湖,6,13,1,
龜山,6,7,1,
龜老山,6,13,1,
中山,5,6,1,
丸龜城,5,5,1,
久米島,5,42,1,
京都市區,5,5,0,
伊予灘,5,7,1,
伊根灣,5,10,1,
伊良部島,5,14,1,
伯方島,5,11,1,
佐柳島,5,19,1,
信濃川,5,6,1,
八重洲,5,5,1,
別府灣,5,6,1,
劍山,5,8,1,
劍峰,5,8,1,
加茂湖,5,9,1,
勝山,5,5,1,
北岸,5,5,1,
千光寺山,5,8,1,
千歲川,5,9,1,
南亞,5,5,0,
口湖,5,5,0,
名古屋港,5,6,1,
嘉明湖,5,6,1,
土庄港,5,5,0,
地球,5,6,0,
外輪山,5,6,1,
大湯沼,5,7,1,
太陽城,5,5,1,
對馬島,5,6,1,
小笠原群島,5,11,1,
山陽地區,5,5,0,
岩手山,5,6,1,
平泉地區,5,5,0,
彌山山頂,5,6,1,
御徒町,5,6,0,
御殿場,5,5,1,
徳島,5,13,1,
忍野八海,5,5,1,
房總半島,5,19,1,
東京廣域,5,5,0,
柏島,5,13,1,
桃源台,5,6,1,
森吉山,5,13,1,
榛名山,5,7,1,
榛名湖,5,5,1,
櫻島火山,5,5,1,
武雄,5,9,1,
池間島,5,14,1,
沙丘,5,5,1,
湘南海岸,5,6,1,
熊野川,5,11,1,
田代池,5,6,1,
男鹿半島,5,8,1,
白馬三山,5,16,1,
百名山,5,6,0,
盆地,5,5,0,
相島,5,5,1,
立山連峰,5,5,1,
紀伊半島,5,5,1,
紫雲出山,5,5,1,
綠洲,5,6,0,
美山,5,7,1,
美瑛川,5,11,1,
耀西,5,5,0,
蓬萊山,5,12,1,
藏王山,5,5,1,
西九州,5,8,0,
道東三湖,5,5,0,
釧路濕原,5,5,1,
錦江灣,5,8,1,
錦系町,5,7,0,
關西,5,5,0,
關西地區,5,5,0,
阿里山,5,5,0,
青島,5,6,0,
飯盛山,5,9,1,
飯野山,5,10,1,
館山,5,8,1,
馬門岩,5,9,1,
高松港,5,7,1,
鶴仙溪,5,13,1,
黑川,5,5,1,
龜山島,5,7,0,
三四郎島,4,9,1,
三角洲,4,5,0,
中島川,4,11,1,
丸山,4,5,1,
二湖,4,6,0,
京都盆地,4,8,1,
仁王島,4,7,1,
仙醉島,4,7,1,
俄波羅的海,4,4,0,
倉敷川,4,8,1,
八幡坂,4,4,1,
八幡堀,4,5,1,
北方四島,4,9,0,
北極,4,4,0,
北極星,4,6,0,
北阿爾卑斯山脈,4,5,1,
千波湖,4,6,1,
千穗峽,4,6,1,
南岸,4,4,0,
南湖,4,8,1,
南阿爾卑斯山脈,4,4,1,
卯辰山,4,9,1,
和琴半島,4,5,1,
哥吉拉岩,4,4,1,
唐戶市場,4,5,1,
四湖,4,4,0,
國後島,4,5,0,
城崎海岸,4,5,1,
士山,4,4,0,
大村灣,4,4,1,
天上山,4,4,1,
天安河,4,6,1,
天神區,4,4,0,
天鵝湖,4,4,1,
夫婦岩,4,4,1,
姬沼,4,7,1,
安比高原,4,6,1,
寸又峽,4,10,1,
小山丘,4,4,1,
小田原城,4,8,1,
岐島,4,6,1,
岡山,4,5,0,
後山,4,4,1,
惠那峽,4,4,1,
敦賀灣,4,7,1,
日本列島,4,7,0,
旭岳山頂,4,4,1,
明海,4,5,1,
明神池,4,5,1,
朝霧高原,4,4,1,
杓子山,4,8,1,
東南,4,4,0,
東南角,4,4,0,
東洋,4,4,0,
東海岸,4,4,0,
松山,4,4,0,
松江,4,4,0,
柳川,4,5,1,
梓川,4,6,1,
椛島,4,7,1,
江島,4,4,1,
江戶川,4,5,1,
沖繩本島,4,4,0,
津川,4,4,1,
浦富海岸,4,10,1,
淡水河,4,4,0,
湯之川,4,4,1,
澀溫泉,4,8,1,
琉球群島,4,6,0,
琵琶湖西岸,4,5,1,
生駒山,4,11,1,
田貫湖,4,5,1,
目黑川,4,5,1,
相模灣,4,4,1,
石見銀山,4,6,1,
磊磊峽,4,5,1,
神保町,4,4,0,
神威岬,4,21,1,
秋田市區,4,6,0,
稻佐之濱,4,6,1,
穗高連峰,4,4,1,
筑後川,4,9,1,
筑波山,4,9,1,
糸島,4,7,1,
紅葉谷,4,5,1,
美麗海,4,4,1,
群島,4,4,0,
羽山,4,5,1,
羽黑山,4,6,1,
耶馬溪,4,8,1,
臥牛山,4,8,1,
蕪島,4,11,1,
西南,4,6,1,
足摺岬,4,5,1,
那智山,4,5,1,
銀山溫泉街,4,4,1,
錦糸町,4,4,0,
鍋冠山,4,8,1,
關原,4,4,1,
阿拉伯區,4,4,0,
陸奧之松島,4,4,1,
隱岐島,4,6,1,
飛鳥山,4,6,1,
高千穗峰,4,6,1,
高山市區,4,5,0,
高島,4,6,1,
鳥海山,4,6,1,
鳴門海峽,4,4,1,
鴨川河,4,5,1,
鹿児島,4,19,0,
麻布台,4,4,1,
99島,3,3,1,
スコトン岬,3,5,1,
七星山,3,3,0,
三途川,3,3,0,
上海灘,3,6,0,
上高地,3,3,1,
下呂,3,3,1,
不忍池,3,4,1,
中岳,3,6,1,
中津溪谷,3,3,1,
丹沢山,3,11,1,
九度山,3,3,1,
五十鈴川,3,3,1,
五箇山,3,5,1,
京都河原町,3,3,0,
代官山,3,4,1,
伊東,3,3,1,
伊江島,3,3,1,
伊香保溫泉,3,6,1,
佐多岬,3,4,1,
來間島,3,16,1,
信義區,3,3,0,
倉敷美觀地區,3,3,1,
兔島,3,3,1,
八方池,3,13,1,
冰河,3,3,0,
北山,3,3,0,
北阿爾卑斯,3,3,1,
十二湖,3,16,1,
千葉,3,3,0,
半月山,3,4,1,
南小谷,3,3,1,
南島,3,5,0,
南阿爾卑斯山,3,4,1,
博多港,3,9,0,
台北盆地,3,4,0,
合歡山,3,4,0,
向島,3,3,1,
和田山,3,7,1,
噴火灣,3,3,1,
四条河原町,3,3,0,
因島,3,3,1,
大崎下島,3,10,1,
大手町,3,3,0,
大東島,3,6,1,
大河原,3,3,1,
大洲城,3,3,1,
大雪山層雲峽,3,4,1,
大雪山連峰,3,4,1,
大雪溪,3,3,1,
天橋立,3,3,1,
天橋立沙洲,3,3,1,
天王洲島,3,4,1,
天龍峽,3,5,1,
夫里島,3,5,0,
奧多摩湖,3,6,1,
奧羽山脈,3,3,1,
宇曾利湖,3,5,1,
宇野港,3,3,1,
宮城島,3,8,1,
宮崎市區,3,3,0,
富士山地區,3,3,0,
富士山山,3,3,0,
富士山山頂,3,4,1,
富士川,3,3,1,
富士河口湖,3,4,1,
富山湾,3,3,1,
寶永山,3,5,1,
小倉山,3,3,1,
小木港,3,5,1,
小樽,3,3,1,
屋島山,3,5,1,
展望台,3,3,0,
岡山地區,3,3,0,
島根半島,3,4,1,
川中島,3,8,1,
川原,3,3,1,
川平灣,3,6,1,
平和島溫泉,3,3,1,
平安座島,3,5,1,
平戶島,3,5,1,
平泉,3,3,1,
平湯溫泉,3,3,1,
平野之濱,3,5,1,
広島,3,3,1,
廣島市區,3,3,0,
彌彥山,3,9,1,
心斎橋,3,3,1,
恐山,3,5,1,
愛宕山,3,6,1,
愛河,3,3,0,
慶良間諸島,3,4,1,
成田山,3,4,1,
新京極,3,3,1,
旭山,3,4,1,
旭岳山,3,4,1,
明石海峽,3,6,1,
木之丘,3,3,1,
木津川,3,3,1,
東三湖,3,3,0,
東叡山,3,3,1,
東尋坊,3,6,1,
東山地區,3,3,0,
東岸,3,3,1,
松原,3,3,1,
松江市區,3,3,0,
栗山,3,4,1,
桂島,3,4,1,
桃源台港,3,4,1,
梅田,3,3,1,
極南,3,10,0,
樺太,3,3,1,
橫濱八景島,3,3,1,
橫濱市區,3,3,0,
歐美,3,3,0,
歐陸,3,4,0,
江高島,3,7,1,
沖之島,3,6,1,
沖島,3,25,1,
沙彌島,3,4,1,
沙發區,3,3,0,
泰山,3,3,0,
津和野,3,4,1,
海峽,3,3,0,
涸沢,3,5,1,
淺草橋,3,3,1,
淺間山,3,14,1,
清水坂,3,3,1,
渡嘉敷島,3,5,1,
湯澤高原,3,3,1,
澄海岬,3,5,1,
熊野灘,3,3,1,
熱海,3,3,1,
爺湖,3,3,0,
片瀨江之島,3,3,1,
犬島,3,25,1,
獨木舟,3,3,0,
琶湖,3,3,0,
田沢湖,3,8,1,
白兔海岸,3,4,1,
白沙灘,3,3,0,
白石川,3,9,1,
白谷雲水峽,3,8,1,
矢島,3,4,1,
石打丸山,3,5,1,
石板路,3,3,0,
石狩川,3,3,1,
硫黃山,3,4,1,
磐梯山,3,5,1,
神戶市區,3,4,0,
神田,3,3,1,
神田川,3,7,1,
神秘島,3,3,0,
秋吉台,3,3,1,
秋名山,3,4,0,
稻村崎,3,3,1,
稻荷山,3,4,1,
立山,3,3,1,
箱根,3,3,1,
箱根蘆之湖,3,3,1,
精華區,3,3,0,
義經岩,3,7,1,
羽田,3,3,0,
能古島,3,3,1,
花崗岩,3,4,0,
花東縱谷,3,3,0,
草津溫泉,3,8,1,
菖蒲池,3,4,1,
葫蘆島,3,3,1,
蓬萊島,3,3,1,
薩摩半島,3,3,1,
西山,3,4,1,
西成區,3,5,0,
西洋,3,3,0,
西海岸,3,3,0,
觀音岩,3,3,1,
觀音街,3,3,1,
豐平峽,3,4,1,
賀茂川,3,4,1,
赤城山,3,3,1,
赤壁,3,4,0,
近江高島,3,4,1,
道頓堀川,3,4,1,
那珂川,3,3,1,
野付半島,3,3,1,
野邊山,3,5,1,
長崎港,3,4,1,
長浜,3,14,1,
關西廣域,3,5,0,
隱岐之島,3,5,1,
雪之大谷,3,3,1,
霧島山,3,4,1,
青森港,3,4,0,
音羽山,3,4,1,
須古頓岬,3,3,1,
駒岳,3,4,1,
鬼島,3,4,1,
鬼怒川溫泉區,3,3,0,
鴛泊港,3,4,1,
鴨川三角洲,3,3,1,
鶴見山,3,5,1,
